500: ('JUMP_IF_TRUE_OR_POP', 'GET_ITER')
498: ('CONTAINS_OP', 'RETURN_VALUE')
490: ('BUILD_TUPLE', 'BINARY_SUBSCR')
474: ('POP_JUMP_IF_FALSE', 'BUILD_LIST')
473: ('CALL_FUNCTION', 'LIST_APPEND')
471: ('POP_TOP', 'SETUP_FINALLY')
471: ('LOAD_FAST', 'UNARY_NOT')
469: ('LOAD_CONST', 'BINARY_MULTIPLY')
468: ('LOAD_DEREF', 'LOAD_GLOBAL')
466: ('CALL_METHOD', 'LOAD_GLOBAL')
445: ('LOAD_CONST', 'LIST_EXTEND')
442: ('STORE_ATTR', 'BUILD_LIST')
417: ('BINARY_SUBSCR', 'DUP_TOP')
414: ('LOAD_CONST', 'IMPORT_NAME')
411: ('LOAD_DEREF', 'LOAD_DEREF')
410: ('LOAD_NAME', 'STORE_NAME')
400: ('LOAD_DEREF', 'BINARY_SUBTRACT')
380: ('CALL_FUNCTION', 'LOAD_METHOD')
370: ('LOAD_NAME', 'CALL_FUNCTION')
366: ('LOAD_CONST', 'BINARY_AND')
357: ('CALL_FUNCTION', 'SETUP_WITH')
345: ('CALL_METHOD', 'EXTENDED_ARG')
343: ('JUMP_FORWARD', 'EXTENDED_ARG')
339: ('LOAD_CONST', 'LOAD_NAME')
337: ('POP_JUMP_IF_FALSE', 'LOAD_DEREF')
336: ('<0>', 'POP_TOP')
333: ('CALL_FUNCTION', 'LOAD_ATTR')
331: ('LOAD_FAST', 'DICT_MERGE')
331: ('DICT_MERGE', 'CALL_FUNCTION_EX')
324: ('JUMP_IF_TRUE_OR_POP', 'LOAD_CONST')
320: ('LOAD_NAME', 'LOAD_METHOD')
319: ('POP_BLOCK', 'LOAD_GLOBAL')
309: ('MAKE_FUNCTION', 'LOAD_GLOBAL')
304: ('BINARY_AND', 'EXTENDED_ARG')
301: ('BINARY_OR', 'LOAD_FAST')
301: ('JUMP_IF_FALSE_OR_POP', 'CALL_FUNCTION')
300: ('LOAD_FAST', 'FORMAT_VALUE')
289: ('<0>', 'LOAD_NAME')
289: ('LOAD_BUILD_CLASS', 'LOAD_CONST')
288: ('STORE_SUBSCR', 'SETUP_FINALLY')
288: ('BINARY_AND', 'POP_JUMP_IF_TRUE')
286: ('LOAD_FAST', 'DELETE_SUBSCR')
282: ('FOR_ITER', 'JUMP_FORWARD')
282: ('IMPORT_NAME', 'STORE_NAME')
278: ('BUILD_TUPLE', 'CONTAINS_OP')
274: ('JUMP_IF_NOT_EXC_MATCH', 'POP_TOP')
272: ('MAP_ADD', 'JUMP_ABSOLUTE')
270: ('DUP_TOP', 'LOAD_GLOBAL')
269: ('FOR_ITER', 'STORE_NAME')
262: ('LOAD_CONST', 'BUILD_MAP')
258: ('LOAD_ATTR', 'UNARY_NOT')
258: ('JUMP_IF_FALSE_OR_POP', 'LOAD_DEREF')
257: ('STORE_NAME', 'LOAD_BUILD_CLASS')
256: ('BINARY_MODULO', 'LIST_APPEND')
255: ('ROT_THREE', 'COMPARE_OP')
255: ('DUP_TOP', 'ROT_THREE')
248: ('LOAD_NAME', 'LOAD_ATTR')
248: ('LOAD_FAST', 'BINARY_AND')
247: ('LOAD_METHOD', 'LOAD_NAME')
243: ('STORE_GLOBAL', 'LOAD_FAST')
241: ('LOAD_FAST', 'BINARY_OR')
