4801: ('BINARY_SUBSCR', 'POP_JUMP_IF_FALSE')
4789: ('DELETE_ATTR', 'JUMP_FORWARD')
4767: ('BUILD_CONST_KEY_MAP', 'LOAD_CONST')
4757: ('LOAD_ATTR', 'UNARY_NOT')
4719: ('UNPACK_SEQUENCE', 'LOAD_FAST')
4700: ('CALL_FUNCTION_EX', 'LOAD_FAST')
4659: ('COMPARE_OP', 'LOAD_CONST')
4643: ('STORE_NAME', 'IMPORT_FROM')
4611: ('SETUP_FINALLY', 'LOAD_CONST')
4443: ('BUILD_TUPLE', 'LOAD_GLOBAL')
4437: ('CALL_FUNCTION_KW', 'LOAD_CONST')
4397: ('DELETE_SUBSCR', 'LOAD_CONST')
4390: ('BINARY_MODULO', 'JUMP_FORWARD')
4388: ('FORMAT_VALUE', 'LOAD_CONST')
4360: ('BINARY_AND', 'EXTENDED_ARG')
4257: ('POP_EXCEPT', 'POP_EXCEPT')
4257: ('LOAD_ATTR', 'ROT_FOUR')
4250: ('LOAD_FAST', 'LIST_APPEND')
4226: ('ROT_THREE', 'COMPARE_OP')
4226: ('DUP_TOP', 'ROT_THREE')
4155: ('LOAD_FAST', 'JUMP_FORWARD')
4149: ('STORE_SUBSCR', 'LOAD_GLOBAL')
3910: ('CONTAINS_OP', 'RETURN_VALUE')
3855: ('STORE_SUBSCR', 'SETUP_FINALLY')
3812: ('CALL_FUNCTION', 'BINARY_MULTIPLY')
3805: ('COMPARE_OP', 'RETURN_VALUE')
3751: ('BINARY_AND', 'POP_JUMP_IF_TRUE')
3722: ('BUILD_MAP', 'CALL_FUNCTION')
3702: ('BUILD_LIST', 'LOAD_CONST')
3681: ('LOAD_CONST', 'EXTENDED_ARG')
3638: ('MAKE_FUNCTION', 'LOAD_CONST')
3583: ('BINARY_MODULO', 'RETURN_VALUE')
3474: ('STORE_ATTR', 'BUILD_LIST')
3389: ('UNARY_NOT', 'JUMP_IF_FALSE_OR_POP')
3334: ('STORE_DEREF', 'LOAD_CLOSURE')
3263: ('UNARY_NOT', 'RETURN_VALUE')
3262: ('FOR_ITER', 'STORE_NAME')
3247: ('CALL_METHOD', 'LOAD_GLOBAL')
3216: ('LOAD_NAME', 'STORE_NAME')
3146: ('POP_JUMP_IF_TRUE', 'RETURN_VALUE')
3064: ('LOAD_ATTR', 'BUILD_MAP')
3061: ('LOAD_ATTR', 'LOAD_NAME')
3041: ('<0>', 'LOAD_NAME')
2977: ('BINARY_SUBTRACT', 'RETURN_VALUE')
2951: ('LOAD_DEREF', 'CONTAINS_OP')
2933: ('EXTENDED_ARG', 'SETUP_WITH')
2846: ('ROT_THREE', 'STORE_SUBSCR')
2846: ('DUP_TOP_TWO', 'BINARY_SUBSCR')
2843: ('INPLACE_ADD', 'ROT_THREE')
2838: ('ROT_TWO', 'STORE_FAST')
2801: ('BUILD_MAP', 'CALL_METHOD')
2767: ('JUMP_IF_TRUE_OR_POP', 'LOAD_FAST')
2743: ('BUILD_TUPLE', 'STORE_SUBSCR')
2720: ('LOAD_FAST', 'DUP_TOP_TWO')
2691: ('LOAD_CONST', 'YIELD_VALUE')
2671: ('UNARY_INVERT', 'BINARY_AND')
2661: ('CALL_FUNCTION', 'DELETE_SUBSCR')
2659: ('BUILD_TUPLE', 'BINARY_ADD')
2597: ('LOAD_NAME', 'LOAD_METHOD')
2563: ('LOAD_BUILD_CLASS', 'LOAD_CONST')
2549: ('SET_ADD', 'JUMP_ABSOLUTE')
2539: ('CALL_FUNCTION', 'IS_OP')
2538: ('LOAD_CONST', 'INPLACE_SUBTRACT')
