65829: ('LOAD_GLOBAL', 'LOAD_CLOSURE')
65591: ('BINARY_ADD', 'INPLACE_ADD')
65538: ('ROT_TWO', 'POP_TOP')
64994: ('LOAD_DEREF', 'LOAD_CONST')
64515: ('DELETE_FAST', 'LOAD_CONST')
63446: ('CALL_FUNCTION', 'EXTENDED_ARG')
63235: ('STORE_FAST', 'BUILD_LIST')
62982: ('POP_TOP', 'RETURN_VALUE')
57862: ('CALL_FUNCTION', 'LOAD_GLOBAL')
57593: ('FOR_ITER', 'POP_TOP')
57560: ('CALL_METHOD', 'CALL_FUNCTION')
57490: ('POP_JUMP_IF_FALSE', 'POP_TOP')
57439: ('CALL_FUNCTION', 'JUMP_IF_FALSE_OR_POP')
57437: ('LOAD_ATTR', 'JUMP_IF_NOT_EXC_MATCH')
57210: ('CONTAINS_OP', 'RETURN_VALUE')
55904: ('LOAD_CONST', 'LOAD_GLOBAL')
55812: ('BINARY_SUBSCR', 'ROT_TWO')
54353: ('JUMP_FORWARD', 'EXTENDED_ARG')
53676: ('DELETE_ATTR', 'LOAD_FAST')
53356: ('CALL_FUNCTION_KW', 'CALL_FUNCTION')
53059: ('CALL_METHOD', 'DUP_TOP')
52891: ('IS_OP', 'EXTENDED_ARG')
52166: ('LOAD_DEREF', 'CALL_METHOD')
51885: ('COMPARE_OP', 'RETURN_VALUE')
51745: ('JUMP_IF_NOT_EXC_MATCH', 'RERAISE')
49679: ('GET_ITER', 'EXTENDED_ARG')
49297: ('<0>', 'DUP_TOP')
49237: ('LOAD_ATTR', 'STORE_SUBSCR')
46383: ('CALL_FUNCTION_EX', 'RETURN_VALUE')
45922: ('CALL_FUNCTION', 'CALL_METHOD')
45405: ('BINARY_SUBSCR', 'CALL_FUNCTION')
44865: ('LOAD_GLOBAL', 'IS_OP')
43938: ('LOAD_FAST', 'JUMP_IF_FALSE_OR_POP')
42891: ('JUMP_FORWARD', 'POP_BLOCK')
42063: ('BUILD_LIST', 'BINARY_ADD')
41533: ('CALL_METHOD', 'CONTAINS_OP')
40222: ('ROT_FOUR', 'POP_EXCEPT')
39971: ('JUMP_IF_FALSE_OR_POP', 'LOAD_FAST')
39717: ('BINARY_SUBSCR', 'YIELD_VALUE')
38951: ('POP_BLOCK', 'LOAD_CONST')
38933: ('CALL_METHOD', 'CALL_METHOD')
38368: ('LOAD_CLOSURE', 'LOAD_CLOSURE')
37729: ('BINARY_SUBSCR', 'LOAD_ATTR')
37489: ('CALL_METHOD', 'LOAD_GLOBAL')
36377: ('LOAD_ATTR', 'BINARY_SUBSCR')
35725: ('CALL_METHOD', 'YIELD_VALUE')
34999: ('CALL_FUNCTION_KW', 'POP_TOP')
34712: ('LOAD_ATTR', 'LOAD_DEREF')
34533: ('JUMP_IF_TRUE_OR_POP', 'GET_ITER')
34175: ('BUILD_TUPLE', 'JUMP_IF_NOT_EXC_MATCH')
33015: ('CALL_FUNCTION', 'BUILD_TUPLE')
32503: ('CALL_FUNCTION_EX', 'POP_TOP')
32211: ('LOAD_CONST', 'DUP_TOP')
31831: ('CALL_FUNCTION', 'COMPARE_OP')
31088: ('CALL_METHOD', 'STORE_DEREF')
30990: ('CALL_FUNCTION_KW', 'POP_JUMP_IF_FALSE')
30671: ('JUMP_IF_FALSE_OR_POP', 'LOAD_GLOBAL')
30213: ('POP_JUMP_IF_FALSE', 'BUILD_LIST')
29765: ('CALL_METHOD', 'POP_BLOCK')
29657: ('SETUP_WITH', 'POP_TOP')
29189: ('BUILD_LIST', 'BUILD_LIST')
28826: ('DUP_TOP', 'DUP_TOP')
28826: ('DUP_TOP', 'CALL_FUNCTION')
28479: ('BUILD_TUPLE', 'LIST_APPEND')
28405: ('LOAD_CONST', 'GET_ITER')
28062: ('LOAD_CONST', 'YIELD_VALUE')
27942: ('LOAD_DEREF', 'CALL_FUNCTION')
27218: ('POP_TOP', 'EXTENDED_ARG')
27173: ('CALL_METHOD', 'SETUP_WITH')
27027: ('STORE_DEREF', 'LOAD_GLOBAL')
26950: ('CALL_FUNCTION_EX', 'LOAD_FAST')
26838: ('ROT_TWO', 'LOAD_FAST')
26838: ('DELETE_ATTR', 'SETUP_FINALLY')
26466: ('LOAD_FAST', 'ROT_TWO')
25897: ('BUILD_TUPLE', 'GET_ITER')
25696: ('LOAD_METHOD', 'LOAD_DEREF')
25069: ('<0>', 'BUILD_MAP')
24880: ('BUILD_MAP', 'STORE_FAST')
24837: ('JUMP_IF_FALSE_OR_POP', 'ROT_TWO')
24794: ('JUMP_FORWARD', 'JUMP_FORWARD')
24759: ('CALL_METHOD', 'INPLACE_ADD')
24366: ('MAKE_FUNCTION', 'STORE_FAST')
22588: ('BINARY_SUBTRACT', 'CALL_METHOD')
22462: ('POP_EXCEPT', 'RETURN_VALUE')
21605: ('CALL_METHOD', 'LOAD_ATTR')
21339: ('POP_JUMP_IF_TRUE', 'SETUP_FINALLY')
21291: ('<0>', 'BUILD_SET')
20709: ('BINARY_ADD', 'CALL_METHOD')
20449: ('JUMP_IF_TRUE_OR_POP', 'BUILD_LIST')
20323: ('LOAD_CONST', 'BUILD_LIST')
20280: ('JUMP_IF_FALSE_OR_POP', 'YIELD_VALUE')
19940: ('LOAD_DEREF', 'LOAD_GLOBAL')
19404: ('STORE_FAST', 'STORE_DEREF')
19267: ('POP_BLOCK', 'ROT_FOUR')
18943: ('CALL_FUNCTION_KW', 'LOAD_FAST')
18940: ('POP_EXCEPT', 'JUMP_FORWARD')
18867: ('STORE_FAST', 'LOAD_CLOSURE')
18401: ('SETUP_FINALLY', 'SETUP_FINALLY')
18378: ('LOAD_FAST', 'BINARY_MULTIPLY')
18133: ('JUMP_IF_NOT_EXC_MATCH', 'DUP_TOP')
17984: ('CALL_FUNCTION_KW', 'RAISE_VARARGS')
17887: ('POP_TOP', 'LOAD_DEREF')
17872: ('BINARY_MULTIPLY', 'LOAD_FAST')
17620: ('DELETE_FAST', 'RETURN_VALUE')
16647: ('CALL_FUNCTION', 'UNPACK_SEQUENCE')
15710: ('CALL_FUNCTION', 'ROT_TWO')
15582: ('POP_JUMP_IF_TRUE', 'BUILD_LIST')
