53927: ('UNARY_NEGATIVE', 'BINARY_POWER')
53921: ('BINARY_ADD', 'COMPARE_OP')
53920: ('BINARY_POWER', 'COMPARE_OP')
53920: ('BINARY_AND', 'LOAD_METHOD')
53751: ('LOAD_CONST', 'YIELD_FROM')
52380: ('LOAD_ATTR', 'STORE_SUBSCR')
51932: ('BINARY_ADD', 'LOAD_FAST')
50150: ('LOAD_FAST', 'BINARY_SUBTRACT')
49920: ('EXTENDED_ARG', 'FOR_ITER')
48994: ('BUILD_SLICE', 'STORE_SUBSCR')
48696: ('GET_AWAITABLE', 'LOAD_CONST')
48204: ('ROT_TWO', 'STORE_FAST')
47912: ('LOAD_GLOBAL', 'POP_JUMP_IF_FALSE')
47650: ('POP_JUMP_IF_TRUE', 'LOAD_CLOSURE')
47328: ('LOAD_ATTR', 'STORE_DEREF')
47186: ('CONTAINS_OP', 'STORE_FAST')
43456: ('LOAD_CONST', 'BUILD_LIST')
42248: ('BUILD_MAP', 'LOAD_DEREF')
42246: ('LOAD_DEREF', 'DICT_MERGE')
42168: ('JUMP_IF_TRUE_OR_POP', 'BUILD_LIST')
42151: ('LOAD_DEREF', 'STORE_FAST')
42126: ('LOAD_DEREF', 'POP_JUMP_IF_TRUE')
42126: ('CALL_FUNCTION_KW', 'LOAD_ATTR')
42014: ('CALL_METHOD', 'ROT_TWO')
41075: ('POP_JUMP_IF_FALSE', 'JUMP_ABSOLUTE')
38759: ('STORE_FAST', 'IMPORT_FROM')
38410: ('BINARY_SUBSCR', 'LOAD_METHOD')
37486: ('LOAD_FAST', 'IS_OP')
35462: ('LOAD_GLOBAL', 'COMPARE_OP')
34273: ('STORE_NAME', 'LOAD_CONST')
34089: ('LOAD_ATTR', 'JUMP_IF_TRUE_OR_POP')
33796: ('LOAD_ATTR', 'JUMP_IF_FALSE_OR_POP')
33748: ('BINARY_SUBTRACT', 'COMPARE_OP')
33701: ('COMPARE_OP', 'CALL_FUNCTION')
32999: ('LOAD_CONST', 'INPLACE_ADD')
