272: ('LOAD_FAST', 'JUMP_FORWARD')
270: ('BINARY_SUBTRACT', 'STORE_FAST')
270: ('POP_JUMP_IF_FALSE', 'POP_TOP')
269: ('BINARY_MODULO', 'CALL_FUNCTION')
260: ('JUMP_FORWARD', 'LOAD_DEREF')
257: ('BINARY_AND', 'LOAD_FAST')
253: ('LOAD_FAST', 'UNARY_INVERT')
251: ('CALL_FUNCTION', 'STORE_DEREF')
250: ('LOAD_FAST', 'UNARY_NOT')
249: ('LIST_TO_TUPLE', 'BUILD_MAP')
248: ('LOAD_DEREF', 'BUILD_TUPLE')
242: ('UNARY_INVERT', 'BINARY_AND')
238: ('LOAD_GLOBAL', 'EXTENDED_ARG')
236: ('LOAD_CONST', 'RAISE_VARARGS')
234: ('STORE_ATTR', 'EXTENDED_ARG')
232: ('POP_BLOCK', 'POP_BLOCK')
231: ('POP_BLOCK', 'JUMP_ABSOLUTE')
230: ('COMPARE_OP', 'JUMP_FORWARD')
230: ('JUMP_FORWARD', 'JUMP_IF_FALSE_OR_POP')
230: ('JUMP_IF_FALSE_OR_POP', 'LOAD_CONST')
230: ('SETUP_WITH', 'STORE_FAST')
226: ('LOAD_NAME', 'STORE_SUBSCR')
226: ('LOAD_ATTR', 'BUILD_LIST')
225: ('DELETE_SUBSCR', 'LOAD_CONST')
223: ('SETUP_FINALLY', 'SETUP_FINALLY')
221: ('INPLACE_ADD', 'ROT_TWO')
221: ('INPLACE_SUBTRACT', 'ROT_TWO')
221: ('LOAD_CONST', 'LOAD_DEREF')
217: ('CALL_FUNCTION', 'COMPARE_OP')
215: ('CALL_FUNCTION', 'LOAD_NAME')
214: ('BUILD_CONST_KEY_MAP', 'STORE_FAST')
213: ('LOAD_NAME', 'BUILD_TUPLE')
209: ('STORE_NAME', 'IMPORT_FROM')
207: ('STORE_SUBSCR', 'LOAD_GLOBAL')
207: ('BINARY_AND', 'LOAD_CONST')
207: ('BUILD_TUPLE', 'LIST_APPEND')
197: ('BUILD_LIST', 'LOAD_CONST')
197: ('STORE_DEREF', 'LOAD_CLOSURE')
195: ('BINARY_SUBSCR', 'INPLACE_ADD')
194: ('LOAD_FAST', 'YIELD_VALUE')
193: ('CONTAINS_OP', 'STORE_FAST')
192: ('DELETE_SUBSCR', 'POP_BLOCK')
188: ('ROT_FOUR', 'POP_EXCEPT')
188: ('BINARY_SUBSCR', 'BINARY_MULTIPLY')
188: ('POP_EXCEPT', 'RETURN_VALUE')
184: ('LOAD_DEREF', 'CONTAINS_OP')
183: ('LOAD_CONST', 'BUILD_TUPLE')
182: ('CALL_METHOD', 'SETUP_WITH')
180: ('LOAD_GLOBAL', 'POP_JUMP_IF_FALSE')
179: ('LOAD_GLOBAL', 'RETURN_VALUE')
178: ('<0>', 'LOAD_DEREF')
177: ('STORE_ATTR', 'BUILD_MAP')
177: ('IMPORT_NAME', 'STORE_FAST')
175: ('LOAD_CONST', 'STORE_SUBSCR')
175: ('CALL_METHOD', 'STORE_NAME')
174: ('BINARY_TRUE_DIVIDE', 'RETURN_VALUE')
174: ('BINARY_TRUE_DIVIDE', 'LOAD_FAST')
174: ('LOAD_ATTR', 'BINARY_TRUE_DIVIDE')
171: ('JUMP_IF_TRUE_OR_POP', 'LOAD_FAST')
171: ('CALL_FUNCTION', 'RAISE_VARARGS')
170: ('LOAD_CONST', 'LIST_EXTEND')
165: ('LOAD_CONST', 'UNPACK_SEQUENCE')
165: ('BUILD_STRING', 'YIELD_VALUE')
165: ('BUILD_STRING', 'CALL_METHOD')
164: ('BUILD_LIST', 'COMPARE_OP')
