94: ('CALL_FUNCTION', 'BINARY_ADD')
92: ('POP_TOP', 'JUMP_IF_FALSE_OR_POP')
92: ('BINARY_AND', 'EXTENDED_ARG')
92: ('LOAD_ATTR', 'FORMAT_VALUE')
92: ('JUMP_IF_FALSE_OR_POP', 'ROT_TWO')
92: ('CALL_FUNCTION', 'DUP_TOP')
89: ('BUILD_LIST', 'COMPARE_OP')
89: ('CALL_METHOD', 'ROT_TWO')
88: ('JUMP_IF_TRUE_OR_POP', 'LOAD_CONST')
88: ('LOAD_GLOBAL', 'LOAD_DEREF')
87: ('BUILD_LIST', 'LOAD_CONST')
86: ('STORE_SUBSCR', 'JUMP_FORWARD')
86: ('LOAD_CONST', 'STORE_SUBSCR')
85: ('CALL_FUNCTION', 'STORE_SUBSCR')
84: ('BUILD_TUPLE', 'YIELD_VALUE')
84: ('BUILD_TUPLE', 'LOAD_FAST')
84: ('POP_JUMP_IF_TRUE', 'LOAD_DEREF')
83: ('BINARY_ADD', 'LOAD_GLOBAL')
83: ('BUILD_TUPLE', 'BUILD_MAP')
83: ('BUILD_CONST_KEY_MAP', 'STORE_FAST')
83: ('CALL_METHOD', 'SETUP_WITH')
82: ('BUILD_TUPLE', 'GET_ITER')
81: ('STORE_ATTR', 'LOAD_DEREF')
79: ('LOAD_NAME', 'BUILD_TUPLE')
79: ('CALL_METHOD', 'POP_BLOCK')
78: ('POP_JUMP_IF_TRUE', 'LOAD_CONST')
78: ('LOAD_FAST', 'FORMAT_VALUE')
78: ('SETUP_WITH', 'STORE_FAST')
77: ('LIST_TO_TUPLE', 'BUILD_MAP')
77: ('STORE_NAME', 'IMPORT_FROM')
77: ('BUILD_CONST_KEY_MAP', 'RETURN_VALUE')
76: ('LOAD_ATTR', 'YIELD_VALUE')
76: ('LOAD_ATTR', 'MAP_ADD')
76: ('JUMP_FORWARD', 'POP_BLOCK')
75: ('BINARY_AND', 'POP_JUMP_IF_TRUE')
75: ('LOAD_ATTR', 'STORE_DEREF')
74: ('POP_EXCEPT', 'LOAD_CONST')
74: ('LOAD_CLOSURE', 'LOAD_CLOSURE')
74: ('CALL_METHOD', 'BINARY_ADD')
73: ('BUILD_TUPLE', 'LIST_APPEND')
72: ('DUP_TOP', 'STORE_FAST')
72: ('STORE_ATTR', 'BUILD_MAP')
71: ('LOAD_CONST', 'BUILD_STRING')
71: ('JUMP_IF_TRUE_OR_POP', 'RETURN_VALUE')
70: ('JUMP_FORWARD', 'EXTENDED_ARG')
68: ('LOAD_ATTR', 'STORE_NAME')
68: ('LOAD_DEREF', 'CALL_FUNCTION')
68: ('BUILD_STRING', 'LOAD_FAST')
66: ('BUILD_TUPLE', 'BUILD_TUPLE')
65: ('POP_JUMP_IF_FALSE', 'BUILD_MAP')
65: ('LOAD_DEREF', 'LOAD_DEREF')
65: ('BUILD_CONST_KEY_MAP', 'LOAD_CONST')
64: ('LOAD_CONST', 'BUILD_LIST')
64: ('LOAD_CONST', 'LIST_EXTEND')
64: ('BUILD_LIST', 'BINARY_ADD')
64: ('BUILD_LIST', 'BUILD_LIST')
63: ('BUILD_LIST', 'LOAD_CLOSURE')
63: ('CALL_FUNCTION', 'BUILD_LIST')
62: ('BUILD_LIST', 'LOAD_DEREF')
62: ('LOAD_FAST', 'UNPACK_SEQUENCE')
61: ('LOAD_ATTR', 'DUP_TOP')
60: ('LOAD_ATTR', 'BUILD_TUPLE')
58: ('BINARY_ADD', 'LOAD_NAME')
57: ('<0>', 'LOAD_CLOSURE')
57: ('BINARY_SUBSCR', 'INPLACE_ADD')
57: ('STORE_DEREF', 'LOAD_CLOSURE')
56: ('STORE_NAME', 'LOAD_CLOSURE')
55: ('LOAD_FAST', 'INPLACE_ADD')
55: ('CALL_FUNCTION_EX', 'LOAD_FAST')
54: ('BINARY_SUBSCR', 'MAP_ADD')
54: ('DELETE_SUBSCR', 'JUMP_ABSOLUTE')
54: ('JUMP_FORWARD', 'LOAD_DEREF')
